order_date,region,state,city,category,sub_category,product_name,customer_id,segment,sales,profit,quantity,discount,profit_status
2017-10-19,Central,Texas,Houston,Office Supplies,Paper,Easy-staple paper,MA-17560,Home Office,29.47,9.95,3.00,0.20,Profit
2016-12-08,Central,Texas,Richardson,Technology,Phones,GE 30524EE4,GH-14485,Corporate,1097.54,123.47,7.00,0.20,Profit
2016-12-08,Central,Texas,Richardson,Furniture,Furnishings,Electrix Architect's Clamp-On Swing Arm Lamp; Black,GH-14485,Corporate,190.92,-147.96,5.00,0.60,Loss
2015-12-27,Central,Texas,Houston,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",SN-20710,Home Office,113.33,35.42,9.00,0.20,Profit
2015-12-27,Central,Texas,Houston,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases; Custom Colors,SN-20710,Home Office,532.40,-46.98,3.00,0.32,Loss
2015-12-27,Central,Texas,Houston,Furniture,Chairs,Global Fabric Manager's Chair; Dark Gray,SN-20710,Home Office,212.06,-15.15,3.00,0.30,Loss
2015-12-27,Central,Texas,Houston,Technology,Phones,Plantronics HL10 Handset Lifter,SN-20710,Home Office,371.17,41.76,4.00,0.20,Profit
2017-09-10,Central,Illinois,Naperville,Technology,Phones,Panasonic Kx-TS550,LC-16930,Corporate,147.17,16.56,4.00,0.20,Profit
2016-07-17,West,California,Los Angeles,Office Supplies,Storage,Eldon Base for stackable storage shelf; platinum,RA-19885,Corporate,77.88,3.89,2.00,0.00,Profit
2017-09-19,South,Florida,Melbourne,Office Supplies,Storage,Advantus 10-Drawer Portable Organizer; Chrome Metal Frame; Smoke Drawers,ES-14080,Corporate,95.62,9.56,2.00,0.20,Profit
2016-03-11,Central,Minnesota,Eagan,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc; 25/Pack,ON-18715,Corporate,45.98,19.77,2.00,0.00,Profit
2016-03-11,Central,Minnesota,Eagan,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,ON-18715,Corporate,17.46,8.21,2.00,0.00,Profit
2014-10-20,Central,Michigan,Westland,Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin; 18-3/8w x 5-1/4d x 20-1/2h; Black,PO-18865,Consumer,211.96,8.48,4.00,0.00,Profit
2016-06-20,East,Delaware,Dover,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,LH-16900,Consumer,45.00,4.95,3.00,0.00,Profit
2016-06-20,East,Delaware,Dover,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover; Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,LH-16900,Consumer,21.80,6.10,2.00,0.00,Profit
2015-04-18,Central,Indiana,New Albany,Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets; 8-3/4 x 5-1/8; 10/Pack,DP-13000,Consumer,38.22,17.96,6.00,0.00,Profit
2015-04-18,Central,Indiana,New Albany,Office Supplies,Labels,Avery 485,DP-13000,Consumer,75.18,35.33,6.00,0.00,Profit
2015-04-18,Central,Indiana,New Albany,Furniture,Furnishings,Longer-Life Soft White Bulbs,DP-13000,Consumer,6.16,2.96,2.00,0.00,Profit
2015-04-18,Central,Indiana,New Albany,Furniture,Chairs,Global Leather Task Chair; Black,DP-13000,Consumer,89.99,17.10,1.00,0.00,Profit
2016-12-11,East,New York,New York City,Office Supplies,Fasteners,Advantus Push Pins,JM-15265,Corporate,15.26,6.26,7.00,0.00,Profit
2016-12-11,East,New York,New York City,Technology,Phones,AT&T CL83451 4-Handset Telephone,JM-15265,Corporate,1029.95,298.69,5.00,0.00,Profit
2016-06-17,East,New York,Troy,Office Supplies,Storage,Home/Office Personal File Carts,TB-21055,Consumer,208.56,52.14,6.00,0.00,Profit
2016-06-17,East,New York,Troy,Office Supplies,Paper,Xerox 232,TB-21055,Consumer,32.40,15.55,5.00,0.00,Profit
2016-06-17,East,New York,Troy,Furniture,Chairs,Novimex Turbo Task Chair,TB-21055,Consumer,319.41,7.10,5.00,0.10,Profit
2016-06-17,East,New York,Troy,Office Supplies,Paper,Array Parchment Paper; Assorted Colors,TB-21055,Consumer,14.56,6.99,2.00,0.00,Profit
2016-06-17,East,New York,Troy,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TB-21055,Consumer,30.00,3.30,2.00,0.00,Profit
2016-06-17,East,New York,Troy,Office Supplies,Binders,Plastic Binding Combs,TB-21055,Consumer,48.48,16.36,4.00,0.20,Profit
2016-06-17,East,New York,Troy,Office Supplies,Art,Prang Dustless Chalk Sticks,TB-21055,Consumer,1.68,0.84,1.00,0.00,Profit
2015-11-24,West,California,Los Angeles,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc; 3/Pack,KM-16720,Consumer,13.98,6.15,2.00,0.00,Profit
2015-11-24,West,California,Los Angeles,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks; Dark Blue; 14 7/8"" X 11""",KM-16720,Consumer,25.82,9.36,6.00,0.20,Profit
2015-11-24,West,California,Los Angeles,Office Supplies,Paper,Xerox 1943,KM-16720,Consumer,146.73,68.96,3.00,0.00,Profit
2015-11-24,West,California,Los Angeles,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,KM-16720,Consumer,79.76,22.33,4.00,0.00,Profit
2015-04-30,Central,Illinois,Chicago,Furniture,Chairs,Global Value Mid-Back Manager's Chair; Gray,PS-18970,Home Office,213.12,-15.22,5.00,0.30,Loss
2014-12-05,West,Arizona,Gilbert,Office Supplies,Art,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener; Beige,BS-11590,Corporate,1113.02,111.30,8.00,0.20,Profit
2014-12-05,West,Arizona,Gilbert,Technology,Phones,netTALK DUO VoIP Telephone Service,BS-11590,Corporate,167.97,62.99,4.00,0.20,Profit
2016-06-04,South,Virginia,Springfield,Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter; Triplicate,KD-16270,Consumer,75.88,35.66,2.00,0.00,Profit
2016-09-18,East,New York,New York City,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,HM-14980,Consumer,4.62,1.73,1.00,0.20,Profit
2017-09-14,Central,Michigan,Jackson,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section; 5 1/2"" x 3 3/16""",TB-21520,Consumer,19.05,8.76,3.00,0.00,Profit
2015-04-26,South,Tennessee,Memphis,Furniture,Chairs,High-Back Leather Manager's Chair,JE-15745,Consumer,831.94,-114.39,8.00,0.20,Loss
2015-04-26,South,Tennessee,Memphis,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet; Standard Lip; 36"" x 48""",JE-15745,Consumer,97.04,1.21,2.00,0.20,Profit
2015-04-26,South,Tennessee,Memphis,Office Supplies,Storage,Safco Industrial Wire Shelving System,JE-15745,Consumer,72.78,-18.20,1.00,0.20,Loss
2017-12-09,Central,Texas,Houston,Office Supplies,Binders,Economy Binders,KB-16600,Corporate,1.25,-1.93,3.00,0.80,Loss
2017-12-09,Central,Texas,Houston,Furniture,Furnishings,"6"" Cubicle Wall Clock; Black",KB-16600,Corporate,9.71,-5.82,3.00,0.60,Loss
2017-12-09,Central,Texas,Houston,Office Supplies,Storage,SimpliFile Personal File; Black Granite; 15w x 6-15/16d x 11-1/4h,KB-16600,Corporate,27.24,2.72,3.00,0.20,Profit
2014-11-26,Central,Texas,Houston,Furniture,Furnishings,Eldon Expressions Desk Accessory; Wood Pencil Holder; Oak,JE-15745,Consumer,19.30,-14.48,5.00,0.60,Loss
2016-06-12,South,Alabama,Decatur,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",SC-20770,Corporate,208.16,56.20,1.00,0.00,Profit
2016-06-12,South,Alabama,Decatur,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,SC-20770,Corporate,16.74,8.04,3.00,0.00,Profit
2014-10-12,West,California,San Francisco,Office Supplies,Art,Premium Writing Pencils; Soft; #2 by Central Association for the Blind,DN-13690,Consumer,14.90,4.17,5.00,0.00,Profit
2014-10-12,West,California,San Francisco,Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer; Black,DN-13690,Consumer,21.39,6.20,1.00,0.00,Profit
2015-09-03,South,North Carolina,Durham,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,JC-16105,Corporate,200.98,62.81,7.00,0.20,Profit
2017-11-13,Central,Illinois,Chicago,Office Supplies,Storage,Safco Industrial Wire Shelving,CS-12400,Home Office,230.38,-48.95,3.00,0.20,Loss
2017-05-28,South,South Carolina,Columbia,Furniture,Chairs,Novimex Swivel Fabric Task Chair,PO-18865,Consumer,301.96,33.22,2.00,0.00,Profit
2017-10-26,Central,Minnesota,Rochester,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,PG-18895,Consumer,19.99,6.80,1.00,0.00,Profit
2017-10-26,Central,Minnesota,Rochester,Office Supplies,Labels,Avery 511,PG-18895,Consumer,6.16,2.96,2.00,0.00,Profit
2016-04-05,Central,Texas,Houston,Office Supplies,Storage,Eldon Portable Mobile Manager,GM-14455,Home Office,158.37,13.86,7.00,0.20,Profit
2016-09-17,West,California,Los Angeles,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,JS-15685,Corporate,20.10,6.63,3.00,0.00,Profit
2016-09-17,West,California,Los Angeles,Technology,Phones,Panasonic Kx-TS550,JS-15685,Corporate,73.58,8.28,2.00,0.20,Profit
2016-09-17,West,California,Los Angeles,Office Supplies,Paper,Xerox 1995,JS-15685,Corporate,6.48,3.11,1.00,0.00,Profit
2015-01-31,Central,Minnesota,Minneapolis,Office Supplies,Paper,Xerox 1999,KB-16315,Consumer,12.96,6.22,2.00,0.00,Profit
2015-01-31,Central,Minnesota,Minneapolis,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",KB-16315,Consumer,53.34,16.54,3.00,0.00,Profit
2015-01-31,Central,Minnesota,Minneapolis,Office Supplies,Binders,Ibico Standard Transparent Covers,KB-16315,Consumer,32.96,16.15,2.00,0.00,Profit
2017-11-06,West,Oregon,Portland,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,RB-19705,Home Office,5.68,-3.79,1.00,0.70,Loss
2017-11-09,East,New York,New York City,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,PN-18775,Home Office,96.53,40.54,7.00,0.00,Profit
2017-06-17,West,California,San Francisco,Office Supplies,Binders,Trimflex Flexible Post Binders,KD-16345,Consumer,51.31,17.96,3.00,0.20,Profit
2016-09-06,Central,Minnesota,Saint Paul,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,ER-13855,Corporate,77.88,22.59,6.00,0.00,Profit
2016-08-29,Central,Illinois,Chicago,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,RB-19465,Home Office,64.62,22.62,7.00,0.20,Profit
2016-08-29,Central,Illinois,Chicago,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,RB-19465,Home Office,95.98,-10.80,3.00,0.20,Loss
2016-08-29,Central,Illinois,Chicago,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,RB-19465,Home Office,1.79,-3.04,3.00,0.80,Loss
2016-12-01,Central,Minnesota,Rochester,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),GZ-14470,Consumer,23.92,11.72,4.00,0.00,Profit
2015-11-13,West,Colorado,Aurora,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,LC-16870,Consumer,238.90,-26.88,6.00,0.20,Loss
2015-11-13,West,Colorado,Aurora,Furniture,Furnishings,Deflect-o DuraMat Lighweight; Studded; Beveled Mat for Low Pile Carpeting,LC-16870,Consumer,102.36,-3.84,3.00,0.20,Loss
2015-11-13,West,Colorado,Aurora,Office Supplies,Binders,"Avery Trapezoid Ring Binder; 3"" Capacity; Black; 1040 sheets",LC-16870,Consumer,36.88,-25.82,3.00,0.70,Loss
2017-11-23,South,North Carolina,Charlotte,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,JM-15250,Consumer,74.11,17.60,8.00,0.20,Profit
2017-11-23,South,North Carolina,Charlotte,Technology,Phones,Speck Products Candyshell Flip Case,JM-15250,Consumer,27.99,2.10,1.00,0.20,Profit
2017-11-23,South,North Carolina,Charlotte,Office Supplies,Art,Newell Chalk Holder,JM-15250,Consumer,3.30,1.07,1.00,0.20,Profit
2015-10-15,Central,Illinois,Orland Park,Technology,Accessories,Logitech Gaming G510s - Keyboard,PA-19060,Home Office,339.96,67.99,5.00,0.20,Profit
2017-12-25,East,New York,New York City,Furniture,Furnishings,Magnifier Swing Arm Lamp,CV-12805,Corporate,41.96,10.91,2.00,0.00,Profit
2016-11-03,Central,Iowa,Urbandale,Office Supplies,Art,Hunt PowerHouse Electric Pencil Sharpener; Blue,CL-12565,Consumer,75.96,22.79,2.00,0.00,Profit
2016-11-03,Central,Iowa,Urbandale,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",CL-12565,Consumer,27.24,13.35,6.00,0.00,Profit
2014-08-25,East,Ohio,Columbus,Office Supplies,Fasteners,OIC Colored Binder Clips; Assorted Sizes,RC-19960,Consumer,40.10,14.53,14.00,0.20,Profit
2014-08-25,East,Ohio,Columbus,Office Supplies,Envelopes,Redi-Strip #10 Envelopes; 4 1/8 x 9 1/2,RC-19960,Consumer,4.72,1.65,2.00,0.20,Profit
2014-08-25,East,Ohio,Columbus,Office Supplies,Paper,Xerox 1921,RC-19960,Consumer,23.98,7.49,3.00,0.20,Profit
2014-08-25,East,Ohio,Columbus,Office Supplies,Envelopes,Tyvek  Top-Opening Peel & Seel Envelopes; Plain White,RC-19960,Consumer,130.46,44.03,6.00,0.20,Profit
2015-03-02,West,Washington,Seattle,Furniture,Tables,Hon Racetrack Conference Tables,DK-13090,Consumer,787.53,165.38,3.00,0.00,Profit
2015-04-05,South,Tennessee,Bristol,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,GG-14650,Corporate,157.79,-115.72,1.00,0.70,Loss
2016-06-12,East,Delaware,Wilmington,Furniture,Furnishings,Artistic Insta-Plaque,SC-20725,Consumer,47.04,18.35,3.00,0.00,Profit
2016-06-12,East,Delaware,Wilmington,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,SC-20725,Consumer,30.84,13.88,4.00,0.00,Profit
2016-06-12,East,Delaware,Wilmington,Office Supplies,Storage,Companion Letter/Legal File; Black,SC-20725,Consumer,226.56,63.44,6.00,0.00,Profit
2016-06-12,East,Delaware,Wilmington,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,SC-20725,Consumer,115.02,51.76,9.00,0.00,Profit
2016-06-12,East,Delaware,Wilmington,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,SC-20725,Consumer,68.04,19.73,7.00,0.00,Profit
2014-12-26,Central,Texas,Houston,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,AD-10180,Home Office,600.56,-8.58,3.00,0.30,Loss
2014-09-20,Central,Illinois,Bloomington,Furniture,Tables,Bevis 44 x 96 Conference Tables,PF-19165,Consumer,617.70,-407.68,6.00,0.50,Loss
2017-11-05,West,Arizona,Phoenix,Office Supplies,Binders,Avery Durable Slant Ring Binders; No Labels,TS-21610,Consumer,2.39,-1.83,2.00,0.70,Loss
2017-11-05,West,Arizona,Phoenix,Office Supplies,Storage,Trav-L-File Heavy-Duty Shuttle II; Black,TS-21610,Consumer,243.99,30.50,7.00,0.20,Profit
2016-11-06,West,California,Los Angeles,Furniture,Chairs,Global Task Chair; Black,LS-16975,Home Office,81.42,-9.16,2.00,0.20,Loss
2016-11-06,West,California,Los Angeles,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,LS-16975,Home Office,238.56,26.24,3.00,0.00,Profit
2017-02-02,East,Ohio,Columbus,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,DW-13585,Corporate,59.97,-11.99,5.00,0.40,Loss
2017-02-02,East,Ohio,Columbus,Office Supplies,Paper,Xerox 1916,DW-13585,Corporate,78.30,29.36,2.00,0.20,Profit
2017-02-02,East,Ohio,Columbus,Office Supplies,Fasteners,Staples,DW-13585,Corporate,21.46,6.97,9.00,0.20,Profit
2016-10-13,West,California,Roseville,Office Supplies,Paper,Xerox 195,LC-16885,Consumer,20.04,9.62,3.00,0.00,Profit
2016-10-13,West,California,Roseville,Office Supplies,Paper,Xerox 1880,LC-16885,Consumer,35.44,16.66,1.00,0.00,Profit
2016-10-13,West,California,Roseville,Office Supplies,Art,Sanford Colorific Colored Pencils; 12/Box,LC-16885,Consumer,11.52,3.46,4.00,0.00,Profit
2016-10-13,West,California,Roseville,Office Supplies,Fasteners,Ideal Clamps,LC-16885,Consumer,4.02,1.97,2.00,0.00,Profit
2016-10-13,West,California,Roseville,Office Supplies,Binders,GBC Wire Binding Strips,LC-16885,Consumer,76.18,26.66,3.00,0.20,Profit
2016-10-13,West,California,Roseville,Office Supplies,Supplies,Fiskars Softgrip Scissors,LC-16885,Consumer,65.88,18.45,6.00,0.00,Profit
2016-10-13,West,California,Roseville,Furniture,Furnishings,Longer-Life Soft White Bulbs,LC-16885,Consumer,43.12,20.70,14.00,0.00,Profit
2016-09-05,East,Pennsylvania,Philadelphia,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",JD-15895,Corporate,82.80,10.35,2.00,0.20,Profit
2017-09-18,West,California,San Francisco,Office Supplies,Art,Newell 343,SH-19975,Corporate,8.82,2.38,3.00,0.00,Profit
2017-09-18,West,California,San Francisco,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,SH-19975,Corporate,10.86,5.10,3.00,0.00,Profit
2017-09-18,West,California,San Francisco,Office Supplies,Paper,Xerox 1911,SH-19975,Corporate,143.70,68.98,3.00,0.00,Profit
2017-12-22,Central,Missouri,Independence,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,SG-20080,Consumer,839.43,218.25,3.00,0.00,Profit
2015-09-07,West,California,Pasadena,Office Supplies,Storage,Safco Industrial Wire Shelving,HA-14920,Consumer,671.93,20.16,7.00,0.00,Profit
2014-10-22,East,Ohio,Newark,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",MG-17680,Home Office,93.89,12.91,4.00,0.20,Profit
2016-12-05,Central,Wisconsin,Franklin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,JE-16165,Corporate,384.45,103.80,11.00,0.00,Profit
2016-12-05,Central,Wisconsin,Franklin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,JE-16165,Corporate,149.97,6.00,3.00,0.00,Profit
2016-12-05,Central,Wisconsin,Franklin,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs; Rounded Back,JE-16165,Corporate,1951.84,585.55,8.00,0.00,Profit
2016-12-05,Central,Wisconsin,Franklin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,JE-16165,Corporate,171.55,80.63,5.00,0.00,Profit
2016-03-13,West,Arizona,Scottsdale,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,TW-21025,Home Office,157.92,17.77,5.00,0.20,Profit
2016-03-13,West,Arizona,Scottsdale,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,TW-21025,Home Office,203.18,15.24,2.00,0.20,Profit
2015-05-31,West,California,San Jose,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,SP-20650,Corporate,58.38,26.27,7.00,0.00,Profit
2015-05-31,West,California,San Jose,Office Supplies,Paper,Xerox 1883,SP-20650,Corporate,105.52,48.54,4.00,0.00,Profit
2015-05-31,West,California,San Jose,Office Supplies,Storage,Tenex Personal Project File with Scoop Front Design; Black,SP-20650,Corporate,80.88,21.03,6.00,0.00,Profit
2015-05-28,West,Washington,Seattle,Office Supplies,Art,Newell 311,NK-18490,Home Office,6.63,1.79,3.00,0.00,Profit
2014-03-01,West,Washington,Seattle,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,DB-13060,Consumer,457.57,51.48,2.00,0.20,Profit
2016-11-20,Central,Oklahoma,Edmond,Office Supplies,Labels,Avery 519,NP-18670,Consumer,14.62,6.87,2.00,0.00,Profit
2016-11-20,Central,Oklahoma,Edmond,Technology,Phones,Avaya 5420 Digital phone,NP-18670,Consumer,944.93,236.23,7.00,0.00,Profit
2016-05-11,West,California,Los Angeles,Office Supplies,Paper,Xerox 1920,TT-21070,Consumer,5.98,2.69,1.00,0.00,Profit
2015-12-28,East,Pennsylvania,Philadelphia,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,EM-13960,Consumer,54.38,1.36,2.00,0.20,Profit
2016-11-16,West,New Mexico,Carlsbad,Office Supplies,Envelopes,Staple envelope,RD-19900,Consumer,28.40,13.35,5.00,0.00,Profit
2016-11-07,West,Washington,Seattle,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,MJ-17740,Consumer,27.68,9.69,2.00,0.20,Profit
2014-09-08,Central,Texas,San Antonio,Office Supplies,Art,BIC Brite Liner Highlighters,BM-11140,Consumer,9.94,2.73,3.00,0.20,Profit
2014-09-08,Central,Texas,San Antonio,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,BM-11140,Consumer,8159.95,-1359.99,8.00,0.40,Loss
2014-09-08,Central,Texas,San Antonio,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,BM-11140,Consumer,275.93,-58.63,3.00,0.20,Loss
2014-09-08,Central,Texas,San Antonio,Furniture,Chairs,SAFCO Arco Folding Chair,BM-11140,Consumer,1740.06,-24.86,9.00,0.30,Loss
